key,source_file,english,translation,placeholders_english,placeholders_translation,placeholder_mismatch,length_ratio,runtime_when_missing,reviewer_verdict,reviewer_suggested_text,reviewer_comment
office_contact_lead_in,config/conversation_routes.json,"In the meantime, here is a direct way to reach that office:",,,,no,,machine_translated_at_request_time,,,
off_topic,config/conversation_routes.json,"I'm sorry, but I can't help with that question. AskVera can help with approved Forever Living company policies and information from the international sponsoring directory. Please ask me about one of those areas, and I'll be happy to help.","Det beklager jeg, men jeg kan ikke hjælpe med det spørgsmål. AskVera kan hjælpe med godkendte Forever Living-virksomhedspolitikker og oplysninger fra det internationale sponsorkatalog. Spørg mig gerne om et af disse områder.",,,no,0.94,,,,
medical_claim,config/conversation_routes.json,"I'm not able to give medical advice or make claims about treating or curing anything. For anything health-related, a qualified healthcare professional is really the right person to ask. Forever's products have not been evaluated by the Food and Drug Administration and are not intended to diagnose, treat, cure, or prevent any disease.","Jeg kan ikke give medicinsk rådgivning eller fremsætte påstande om behandling eller helbredelse af noget som helst. For alt sundhedsrelateret er en kvalificeret sundhedsfaglig person virkelig den rette person at spørge. Forevers produkter er ikke blevet evalueret af Food and Drug Administration og er ikke beregnet til at diagnosticere, behandle, helbrede eller forebygge nogen sygdom.",,,no,1.15,,,,
income_claim,config/conversation_routes.json,I can't share income projections or guarantees - that's not something I'm able to speak to. The official Income Disclosure Statement is the right place for that kind of detail. Individual results may vary. Forever makes no guarantees on income or success. The Forever Business Owner opportunity and related incentives are not available to residents of the United States.,"Jeg kan ikke dele indkomstprognoser eller garantier - det er ikke noget, jeg kan udtale mig om. Den officielle Income Disclosure Statement er det rigtige sted for den slags detaljer. Individuelle resultater kan variere. Forever giver ingen garantier for indkomst eller succes. Forever Business Owner-muligheden og de tilknyttede incitamenter er ikke tilgængelige for indbyggere i USA.",,,no,1.04,,,,
bedrock_error,config/conversation_routes.json,Sorry about that - I'm having a brief technical hiccup reaching the knowledge base. Mind trying again in a moment?,Beklager - jeg har et kortvarigt teknisk problem med at nå vidensbasen. Vil du prøve igen om et øjeblik?,,,no,0.91,,,,
sensitive_pii,config/conversation_routes.json,"For your privacy, I removed sensitive personal information from your message. AskVera does not use or save government IDs, payment details, passwords, or other sensitive identifiers. Please ask again without personal details.",,,,no,,machine_translated_at_request_time,,,
guardrail_blocked,config/conversation_routes.json,I couldn't provide that response because it did not pass AskVera's safety checks. Please rephrase the question without private information or unsafe claims.,,,,no,,machine_translated_at_request_time,,,
reference_clarification,config/conversation_routes.json,I want to make sure I answer about the right country — do you mean {candidates}?,,{candidates},,yes,,machine_translated_at_request_time,,,
dependency_unavailable,config/conversation_routes.json,Sorry about that - I'm having a brief technical hiccup reaching the knowledge base. Mind trying again in a moment?,Beklager - jeg har et kortvarigt teknisk problem med at nå vidensbasen. Vil du prøve igen om et øjeblik?,,,no,0.91,,,,
evidence_missing_detail,config/conversation_routes.json,"The approved documents I have do not contain enough detail about {topic} to answer that. Please rephrase the question, or contact Forever Living support for an official answer.","De godkendte dokumenter, jeg har, indeholder ikke nok detaljer om {topic} til at besvare det. Omformuler spørgsmålet, eller kontakt Forever Living support for et officielt svar.",{topic},{topic},no,1.01,,,,
cross_market_policy_scope,config/conversation_routes.json,"I can only answer using the policy documents approved for your own market. For {country}'s policy specifically, please check with a local Forever Living office or Customer Care.","Jeg kan kun svare ud fra de politikdokumenter, der er godkendt til dit eget marked. For politikken i {country} specifikt bedes du kontakte et lokalt Forever Living-kontor eller kundeservice.",{country},{country},no,1.07,,,,
international_directory_note,config/conversation_routes.json,"This contact information comes from the international sponsoring directory for {country}, not from local policy documents.","Disse kontaktoplysninger kommer fra det internationale sponsorregister for {country}, ikke fra lokale politikdokumenter.",{country},{country},no,0.98,,,,
personal_account_limit,config/conversation_routes.json,"I can't look up personal account, order or earnings details. Please contact Forever Living Customer Care or check your account portal for that.","Jeg kan ikke slå personlige konto-, ordre- eller indtægtsoplysninger op. Kontakt Forever Livings kundeservice eller tjek din kontoportal for dette.",,,no,1.03,,,,
partial_answer_gap,config/conversation_routes.json,I could not confirm {fields} from the approved documents. The rest of the answer above is what I could confirm.,"Jeg kunne ikke bekræfte {fields} ud fra de godkendte dokumenter. Resten af svaret ovenfor er, hvad jeg kunne bekræfte.",{fields},{fields},no,1.06,,,,
clarify_field,config/conversation_routes.json,Which of these did you mean: {options}?,Hvilken af disse mente du: {options}?,{options},{options},no,0.95,,,,
clarify_country,config/conversation_routes.json,Which country did you mean: {options}?,Hvilket land mente du: {options}?,{options},{options},no,0.87,,,,
clarify_role,config/conversation_routes.json,Which role did you mean: {options}?,Hvilken rolle mente du: {options}?,{options},{options},no,0.97,,,,
repair_ack,config/conversation_routes.json,"Got it, thanks for clarifying.","Forstået, tak for præciseringen.",,,no,1.07,,,,
contact_offer,config/conversation_routes.json,You can also reach {contact} for more help.,Du kan også kontakte {contact} for mere hjælp.,{contact},{contact},no,1.07,,,,
suggest_intro,config/conversation_routes.json,You might also want to ask about:,Du vil måske også spørge om:,,,no,0.85,,,,
suggest_topic_delivery_cost,config/conversation_routes.json,Delivery cost,Leveringsomkostninger,,,no,1.62,,,,
suggest_topic_payment_methods,config/conversation_routes.json,Payment methods,Betalingsmetoder,,,no,1.07,,,,
suggest_topic_contact,config/conversation_routes.json,Office contact details,Kontorets kontaktoplysninger,,,no,1.27,,,,
suggest_topic_returns,config/conversation_routes.json,Returns,Returnering,,,no,1.57,,,,
field_label_phone,config/conversation_routes.json,Phone,Telefon,,,no,1.40,,,,
field_label_order_phone,config/conversation_routes.json,Order phone,Bestillingstelefon,,,no,1.64,,,,
field_label_email,config/conversation_routes.json,Email,E-mail,,,no,1.20,,,,
field_label_website,config/conversation_routes.json,Website,Hjemmeside,,,no,1.43,,,,
field_label_address,config/conversation_routes.json,Address,Adresse,,,no,1.00,,,,
field_label_business_hours,config/conversation_routes.json,Business hours,Åbningstider,,,no,0.86,,,,
field_label_payment_methods,config/conversation_routes.json,Payment methods,Betalingsmetoder,,,no,1.07,,,,
field_label_delivery_cost,config/conversation_routes.json,Delivery cost,Leveringsomkostninger,,,no,1.62,,,,
field_label_delivery_time,config/conversation_routes.json,Delivery time,Leveringstid,,,no,0.92,,,,
field_label_fax,config/conversation_routes.json,Fax,Fax,,,no,1.00,,,,
product_disease_claim_refusal,config/claim_safety.json,"I'm sorry, but I can't confirm that a Forever Living product treats or cures a disease. AskVera can help with approved Forever Living company policies and information from the international sponsoring directory. For a medical question, please speak with a qualified healthcare professional. Forever's products have not been evaluated by the Food and Drug Administration and are not intended to diagnose, treat, cure, or prevent any disease.","Jeg er ked af det, men jeg kan ikke bekræfte, at et Forever Living-produkt behandler eller helbreder en sygdom. AskVera kan hjælpe med godkendte virksomhedspolitikker fra Forever Living og oplysninger fra det internationale sponsorkatalog. Ved medicinske spørgsmål bør du tale med en kvalificeret sundhedsfaglig person. Forevers produkter er ikke blevet evalueret af Food and Drug Administration og er ikke beregnet til at diagnosticere, behandle, helbrede eller forebygge nogen sygdom.",,,no,1.10,,,,
