id,category,scope,expected_behavior,country,target_country,language,question,current_answer,candidate_answer,current_citations,candidate_citations,current_recall_at_1,candidate_recall_at_1,current_first_relevant_rank,candidate_first_relevant_rank,current_selector_success,candidate_selector_success,current_expectation_met,candidate_expectation_met,human_current_score,human_candidate_score,reviewer_notes
PARA-PC-CA-011,Preferred Customer,locale_policy,answer,CA,,en,At what point does my discount jump from the small one to the bigger 30% one?,"Your discount jumps to 30% once you purchase the equivalent of **2 Case Credits (2CC) within 2 consecutive calendar months** as a Preferred Customer. That bigger discount then becomes effective with your next order after you hit that threshold.

One thing to note: if your purchase that reaches the 2CC requirement happens mid-order, that particular order won't be recalculated at the new rate—the 30% discount kicks in starting with your following order.","Your discount jumps to 30% once you purchase the equivalent of **2 Case Credits (2CC) within 2 consecutive calendar months** as a Preferred Customer. That increased discount becomes effective with your next order after you hit that threshold.

One thing to note: if your 2CC purchase spans across two orders and the requirement gets met mid-order, that particular order won't be recalculated at the higher discount—the 30% kicks in starting with the order after that.",CA-EN-Company-Policy.pdf - Sec 4.07: Pricing. | 4.07 | CA,CA-EN-Company-Policy.pdf - Sec 4.07: Pricing. | 4.07 | CA,False,False,2,2,True,True,True,True,,,
PARA-ORD-CA-012,Ordering,locale_policy,answer,CA,,en,Is there a cap on how much product I'm allowed to buy in a single month?,"Based on the authorized policy for Canada, there is no stated cap on the total dollar amount or volume of product you can purchase in a single month.

 This rule is designed to prevent inventory loading—purchasing more product than you have genuine retail or personal-use needs for.

You should keep accurate monthly sales records, which the Company may inspect upon reasonable notice. These records should include reports of inventory on hand at month's end.

So while there's no stated purchase limit per se, your orders are conditional on your sales activity from previous purchases.","Based on the company policies I have access to, there isn't a stated cap on the total amount of product you can purchase in a single month. However, there is an important rule about *when* you can purchase more:

**You can only order new product after 75% of your prior product inventory has been sold, consumed, or otherwise utilized.** Each time you place an order for a product you've ordered before, you're confirming that 75% of the previous order has already been sold or used.

The intent is to prevent inventory loading—buying more than you actually need just to qualify for bonuses. The company encourages sponsors to help FBOs purchase only what's needed to meet immediate sales needs.

If you have questions about what amount makes sense for your specific situation, that's a good conversation to have with your sponsor.",CA-EN-Company-Policy.pdf - Sec 16.02-part-1: Prohibited activities causing grounds for termination and liability for any (part 1) | 16.02 | CA,CA-EN-Company-Policy.pdf - Sec 16.02-part-1: Prohibited activities causing grounds for termination and liability for any (part 1) | 16.02 | CA,False,False,,,False,False,False,False,,,
PARA-ORD-CA-013,Ordering,locale_policy,answer,CA,,en,"Before I restock something, how much of the last lot am I supposed to have moved?",The approved policy documents currently available do not contain enough information to answer this question clearly. Please rephrase the question or contact Forever Living support for an official answer.,"Before you restock a product, you need to have sold or otherwise utilized **75% of the prior order** of that product.

Forever Living asks you to keep accurate records of your monthly sales so you can confirm and certify this when you place your next order. The company can inspect these records on reasonable notice, and they'll include your month-end inventory on hand.

This rule is in place to make sure there's no inventory loading happening in the business.",,CA-EN-Company-Policy.pdf - Sec 16.02-part-1-definition-2: order to ensure no inventory loading is occurring | 16.02 | CA,False,False,,,False,False,False,False,,,
PARA-ORD-CA-014,Ordering,locale_policy,answer,CA,,en,"If my box shows up short or damaged, how long do I have to flag it?",The approved policy documents currently available do not contain enough information to answer this question clearly. Please rephrase the question or contact Forever Living support for an official answer.,"If your box arrives short or damaged, you have **10 days after the date the order was placed** to report the discrepancy to Customer Care.

Make sure you contact them within that window—it's the deadline for reporting any issues with condition or quantities.",,CA-EN-Company-Policy.pdf - Sec 13.01: (a) Preferred Customers and FBOs order directly from the Company at | 13.01 | CA,False,False,,8,False,True,False,True,,,
PARA-ORD-CA-015,Ordering,locale_policy,answer,CA,,en,When's the cut-off each month for an order to still count toward that month's bonus?,"m. (AZ time) on the last calendar day of the applicable month**.

Orders with appropriate payment must be submitted to an authorized FLP product center, Customer Care at (888) 440-ALOE (2563), or via www.foreverliving.com by that deadline to qualify for a bonus generated for that month.","m. (AZ time) on the last calendar day of the applicable Month** to qualify for a bonus generated for that Month.

You can place your order through an authorized FLP product center, Customer Care at (888) 440-ALOE (2563), or online at www.foreverliving.com.",CA-EN-Company-Policy.pdf - Sec 13.01: (a) Preferred Customers and FBOs order directly from the Company at | 13.01 | CA,CA-EN-Company-Policy.pdf - Sec 13.01: (a) Preferred Customers and FBOs order directly from the Company at | 13.01 | CA,False,False,12,6,True,True,True,True,,,
PARA-BON-CA-016,Bonus Timing,locale_policy,answer,CA,,en,When does the money actually land - how long after I buy do I see my bonus?,The approved policy documents currently available do not contain enough information to answer this question clearly. Please rephrase the question or contact Forever Living support for an official answer.,"Great question—the timing depends on which type of bonus or profit you earn.

**For regular bonuses** (Personal/Preferred Customer Bonus, Volume Bonus, and Leadership Bonus):
Bonuses are paid on the **15th of the month following** the month your order was placed. So if you buy in January, your bonus lands on February 15th.

**For online retail profits:**
If you're earning profits from Preferred Customer or Retail Customer orders placed through your online channel, those deposits go to your Global Pay on the **first banking day after the 10th, 20th, and last day of each month**—so three times per month rather than once.

m. (AZ time) on the last calendar day of the month** to qualify for that month's bonus cycle.",,CA-EN-Company-Policy.pdf - Sec 13.01: (a) Preferred Customers and FBOs order directly from the Company at | 13.01 | CA,False,False,,,False,False,False,False,,,
PARA-RESP-CA-017,Responsoring,locale_policy,answer,CA,,en,"Can I switch to a different sponsor, and what do I have to avoid doing first?","1. **You must have been an FBO** during that period.
2. **You cannot have purchased any FLP products.**
3. **You cannot have sponsored any other individuals** into the FLP business.
If all three of these conditions are met, you're eligible to move under a new sponsor.
**What happens when you switch:**
- You'll start fresh as a Preferred Customer under your new sponsor.
- You'll lose any downline you built under your previous sponsor across all countries.
- Any Case Credits you earned before the switch cannot be used for future Level advancement or Incentive qualification.
If you have a spouse or a second-named person on your business, they may have different options depending on the structure—so it's worth confirming those details with your sponsor or the Forever Living support team if that applies to you.","Yes, you can switch to a different sponsor as an existing FBO, but there are specific conditions you must meet during the 12 months before you make the switch.

**To be eligible to switch sponsors, during the preceding 12 months you must:**

1. Have been an FBO
2. Not purchased any FLP products
3. Not sponsored any other individuals into the FLP business

**What happens when you switch:**

Once you change sponsors, you'll start fresh as a Preferred Customer under your new Sponsor. You'll lose any downline you built under your previous sponsor across all countries. Additionally, any Case Credits you earned before switching cannot be used for future Level advancement or Incentive qualification.

The key things to avoid in that 12-month window are making product purchases and sponsoring anyone into the business—those activities would make you ineligible to switch.","CA-EN-Company-Policy.pdf - Sec 14.01: (a) An existing FBO can responsor under a different Sponsor provided that, | 14.01 | CA","CA-EN-Company-Policy.pdf - Sec 14.01: (a) An existing FBO can responsor under a different Sponsor provided that, | 14.01 | CA",False,False,,,False,False,False,False,,,
PARA-EAGLE-CA-018,Eagle Manager,locale_policy,answer,CA,,en,What are the yearly targets to earn that eagle-level recognition?,The approved policy documents currently available do not contain enough information to answer this question clearly. Please rephrase the question or contact Forever Living support for an official answer.,"# Eagle Manager Yearly Targets

To earn Eagle Manager status, you need to meet these requirements during the qualification period of **May through April** (after first qualifying as a Recognized Manager):

**Core Requirements:**
- Be Active every month in either your Home or Qualifying Operating Company
- Be Leadership Bonus Qualified each month (Case Credits earned in months you're not LBQ don't count)
- Accumulate at least **720 Total Case Credits globally, including at least 100 NEW Case Credits**
- Support local and regional meetings
- Personally sponsor and develop at least **3 new Supervisor lines** (in any Operating Company)

**Additional Eagle Manager Lines** (requirement varies by your Manager rank):
- Senior Managers: 1 Eagle Manager Line
- Soaring: 3 Eagle Manager Lines

Each Eagle Manager Line must be in a separate sponsorship line and can be in any Operating Company.

Once you complete all requirements, you'll receive an earned trip to an Eagle Manager Retreat, including airfare for two and up to four nights' lodging, plus access to exclusive training and events.",,CA-EN-Company-Policy.pdf - Sec 8.04: Eagle Manager Status: | 8.04 | CA,False,False,,,False,False,False,False,,,
PARA-F2D-CA-019,Forever2Drive,locale_policy,answer,CA,,en,How does that car-payment style incentive work and how long does it pay out?,The approved policy documents currently available do not contain enough information to answer this question clearly. Please rephrase the question or contact Forever Living support for an official answer.,"I'm not seeing information about a ""car-payment style"" incentive in the approved materials I have access to. Could you give me a bit more context—is this something you've heard about from a Forever Living representative, or are you asking about a specific program by name?",,CA-EN-Company-Policy.pdf - Sec 10.01: (a) An Active Recognized Manager is eligible to participate in the Earned | 10.01 | CA,False,False,24,8,True,True,False,True,,,
PARA-RALLY-CA-020,Global Rally,locale_policy,answer,CA,,en,What do I need to rack up to earn the trip to the big annual company event?,The approved policy documents currently available do not contain enough information to answer this question clearly. Please rephrase the question or contact Forever Living support for an official answer.,"To qualify for a trip to the **FLP Global Rally**, you need to accumulate **1,500 or more Total Case Credits, including at least 50 New Case Credits**, measured from January 1st through December 31st of each year.

At this qualification level, you'll receive:
- Airfare, lodging, and meals for the Global Rally Experience
- A Rally spending allowance of $500 USD

To actually receive these benefits, you must attend the training and motivational meetings of the first Global Rally after the qualifying period ends.

If you reach 500 or more Case Credits but don't complete the remaining requirements, you'll get exclusive access to the Rally VIP Zoom Broadcast instead.",,"CA-EN-Company-Policy.pdf - Sec 12.01-part-1: (a) An FBO can qualify for a trip for two to the FLP Global Rally, including airfare, (part 1) | 12.01 | CA",False,False,,,False,False,False,False,,,
PARA-MGR-US-021,Becoming a Manager,locale_policy,answer,US,,en,What's the path to reaching Manager level once I've joined?,The approved policy documents currently available do not contain enough information to answer this question clearly. Please rephrase the question or contact Forever Living support for an official answer.,"# Path to Manager Level

Based on the approved policy, here's what you need to know:

**Important context:** The policy notes that Sponsorship has been discontinued in the U.S. as of May 1, 2026. This affects how the traditional ""Sponsored Manager"" classification works going forward.

**During your qualification period:** You must also be an Active FBO—which means you need to generate at least **2 Active Case Credits in the U.S.** during that same timeframe.

**Once you reach Manager:** Once you qualify, you keep that rank—there's no re-qualifying requirement unless your Forever Business is terminated or you're re-sponsored.

---

**What happens when you hit Manager?** Your wholesale pricing improves: your Adjusted Wholesale Price drops by up to 48%, effective with your next order.

If you have questions about how to build that downline volume or what ""Active Case Credits"" means in practice, I'd recommend connecting with your sponsor or a Forever Living representative who can walk through the specific steps for your situation.",,US-EN-Company-Policy.pdf - Sec 5.04-definition-1: on a Company-by-Company basis by meeting the following requirements | 5.04 | US,False,False,2,11,True,True,False,True,,,
PARA-PC-US-022,Preferred Customer,locale_policy,answer,US,,en,"If I only want the buyer discount and not the business side, what am I and what do I save?",The approved policy documents currently available do not contain enough information to answer this question clearly. Please rephrase the question or contact Forever Living support for an official answer.,"Based on the approved policy, if you're interested only in purchasing Forever Living products at a discount without the business opportunity, you'd be a **Preferred Customer** or **Retail Customer**.

According to the policy, the discount available depends on your Sales Level, and can be **up to 30% off the Suggested Retail Price (SRP)**, as determined by the Company.

The specific discount percentage you'd receive at your Sales Level isn't detailed in the information I have available. I'd recommend reaching out to a Forever Living Associate or the Home Office to confirm the exact discount tier that applies to you as a Preferred or Retail Customer.",,US-EN-Company-Policy.pdf - Sec 2-part-1-definition-8: Discount | 2 | US,False,False,,,False,False,False,False,,,
PARA-ORD-US-023,Ordering,locale_policy,answer,US,,en,How much product can I order in one month before I need head-office sign-off?,The approved policy documents currently available do not contain enough information to answer this question clearly. Please rephrase the question or contact Forever Living support for an official answer.,"As an FBO, you can order up to **25 Case Credits in any calendar month** without needing prior Home Office approval. If you want to order more than that in a single month, you'll need to get approval from the Home Office first.",,US-EN-Company-Policy.pdf - Sec 13.01-e: An FBO may not order more than 25 Case Credits in any calendar Month | 13.01 | US,False,False,2,5,True,True,False,True,,,
PARA-MGR-UK-024,Becoming a Manager,locale_policy,answer,GB,,en,How do I climb up to become a Manager here in the UK plan?,"To become a Manager in the UK Forever Living Marketing Plan, you need to generate case credits (CC) in one of two ways:

**120 Personal and Non-Manager case credits** within one or two consecutive months, *or*

**150 Open Group case credits** within three or four consecutive months.

Once you hit either target, you'll be classified as a Manager and will receive increased discounts, bonuses, and earning opportunities on personal orders, retail sales, and purchases from your personally-sponsored customers.

The path starts when you opt into the Marketing Plan as a Preferred Customer—you'll begin at Assistant Supervisor level—and then you move up through Supervisor and Assistant Manager before reaching Manager. Each level has its own case credit requirements, discounts, and bonuses that grow as you progress.","**Case Credit Requirements (choose one):**
- Generate 120 Personal and Non-Manager case credits within one or two consecutive months, *or*
- Generate 150 Personal and Non-Manager case credits within three to four consecutive months
**Activity Requirement:**
- You must be an active FBO each month during that same period
**Downline Condition:**
- There cannot be any other FBOs in your downline who qualify as Manager during the same period
**Exception:** If an FBO in your downline *does* qualify as a Manager at the same time, you can still become a Recognised Manager if you have at least 25 Open Group Case Credits from all Operating Companies in the final month of qualification, from FBOs in downlines other than that Manager's.
Once you qualify, you'll receive a **Gold Manager Pin**.
If you'd like more detail about how case credits work or what ""active FBO"" means, just ask.","UK-EN-Company-Policy.pdf - Sec 4.1: Upon opting-in to the Marketing Plan, the Preferred Customer becomes a Forever Business | 4.1 | UK",UK-EN-Company-Policy.pdf - Sec 5.1: a. An FBO qualifies as a Recognised Manager and receives a Gold Manager Pin. | 5.1 | UK,False,False,5,9,False,True,False,True,,,
PARA-PC-UK-025,Preferred Customer,locale_policy,answer,GB,,en,I'd rather just shop at a discount than run a business - what's that and what's the saving?,"That's the **Preferred Customer** option – it's designed for people who want Forever Living products at a discount without the business side.

Here's how it works:

**Initial discount:** You start at **5% off the Suggested Retail Price (SRP)**.

So you'd get a modest saving to start with, then a much more substantial one once you hit that two-case threshold in a rolling two-month window.

That's the core offer – straightforward purchasing at a tiered discount, with no business-building expectations.","That's the **Preferred Customer** option – it's designed for people who want Forever Living products at a discount without the business side.

Here's how it works:

**Starting discount:** You begin at **5% off the recommended retail price (SRP)**.

**Maximum available:** The company allows up to 30% discount at the Preferred Customer level, so that's the top saving available to you in this category.

It's a straightforward way to get products you use regularly at a better price, without the qualification requirements or business obligations that come with being a Forever Business Owner.",UK-EN-Company-Policy.pdf - Sec 4.7-b: A Preferred Customer purchases at a 5% Discount from the SRP . Once a Preferred Customer | 4.7 | UK,UK-EN-Company-Policy.pdf - Sec 4.7-b: A Preferred Customer purchases at a 5% Discount from the SRP . Once a Preferred Customer | 4.7 | UK,False,False,,,False,False,False,False,,,
PARA-INTL-UK-026,International Sponsoring,global_directory,answer,GB,,en,"From the UK, how would I go about signing someone up in another country?",The approved policy documents currently available do not contain enough information to answer this question clearly. Please rephrase the question or contact Forever Living support for an official answer.,"If you're in the UK and want to sponsor someone into another country, here's what you need to do:

**Contact the right office.** Reach out to either the Head Office of your home country (the UK) or the Head Office of the country where you want to sponsor the person. Request to be internationally-sponsored into that desired country.

**What happens next:**
- Your original ID number will be used in all countries you're internationally-sponsored into
- Your sponsor remains the person listed on your first accepted Application Form
- You'll automatically start at your current attained sales level in the new country
- Once you're Active (4 Case Credits) in the UK, you'll be considered active in other countries the following month

**For signing up someone else in another country:** The same process applies—they would contact the relevant Head Office to request international sponsoring into their chosen country.

For specific guidance on which Head Office to contact or details about a particular country, you can email the UK team at **businessownersupport-uk@flp.

Office & Product Center Address: Longbridge Manor Longbridge",,International-Sponsoring-Directory.pdf - Forever England | sponsoring-060-england | GLOBAL,False,False,2,2,True,True,False,True,,,
